game_num,round_num,step_num,player,is_strict_ef,is_one_item_ef,is_final_allocation,final_strict_ef,final_one_item_ef,outside_consistent,offer_increasing
0,1,1,1,True,False,False,False,False,True,True
0,1,2,2,False,False,False,False,False,True,True
1,1,1,1,True,False,False,False,False,False,False
1,1,2,2,False,False,False,False,False,False,False
1,2,1,1,True,False,False,False,False,False,False
1,2,2,2,False,False,False,False,False,False,False
2,1,1,1,True,False,False,False,False,False,True
2,1,2,2,False,False,False,False,False,False,True
3,1,1,1,False,False,False,False,False,False,True
3,1,2,2,False,False,False,False,False,False,True
4,1,1,1,True,False,False,False,False,True,True
4,1,2,2,False,False,False,False,False,True,True
4,2,1,1,True,False,True,True,True,True,True
4,2,2,2,True,False,True,True,True,True,True
6,1,1,1,False,False,False,False,False,False,True
6,1,2,2,True,False,False,False,False,False,True
7,1,1,1,False,False,False,False,False,True,True
7,1,2,2,False,False,False,False,False,True,True
9,1,1,1,True,False,True,True,True,True,True
9,1,2,2,True,False,True,True,True,True,True
10,1,1,1,True,False,True,True,True,False,True
10,1,2,2,False,False,True,True,True,False,True
11,1,1,1,True,False,True,True,True,False,True
11,1,2,2,True,False,True,True,True,False,True
12,1,1,1,True,False,False,False,False,True,True
12,1,2,2,False,False,False,False,False,True,True
13,1,1,1,False,False,False,False,False,True,False
13,1,2,2,True,False,False,False,False,True,False
13,2,1,1,True,False,True,False,False,True,False
13,2,2,2,True,False,True,False,False,True,False
14,1,1,1,True,False,False,False,False,True,True
14,1,2,2,False,False,False,False,False,True,True
15,1,1,1,False,False,False,False,False,False,False
15,1,2,2,True,False,False,False,False,False,False
21,1,1,1,True,False,True,True,True,True,True
21,1,2,2,True,False,True,True,True,True,True
22,1,1,1,False,False,True,True,True,True,True
22,1,2,2,True,False,True,True,True,True,True
23,1,1,1,True,False,True,True,True,True,True
23,1,2,2,True,False,True,True,True,True,True
24,1,1,1,True,False,False,False,False,False,True
24,1,2,2,False,False,False,False,False,False,True
24,2,1,1,True,False,True,True,True,False,True
24,2,2,2,True,False,True,True,True,False,True
26,1,1,1,False,False,True,True,True,False,True
26,1,2,2,True,False,True,True,True,False,True
27,1,1,1,True,False,True,True,True,False,True
27,1,2,2,True,False,True,True,True,False,True
31,1,1,1,True,False,True,True,True,False,True
31,1,2,2,True,False,True,True,True,False,True
33,1,1,1,True,False,False,False,False,True,True
33,1,2,2,False,False,False,False,False,True,True
35,1,1,1,True,False,True,True,True,False,True
35,1,2,2,True,False,True,True,True,False,True
49,1,1,1,False,False,False,False,False,True,True
49,1,2,2,False,False,False,False,False,True,True
49,2,1,1,False,False,False,False,False,True,True
49,2,2,2,False,False,False,False,False,True,True
50,1,1,1,True,False,True,False,True,True,True
50,1,2,2,True,False,True,False,True,True,True
51,1,1,1,False,False,True,True,True,True,True
51,1,2,2,True,False,True,True,True,True,True
52,1,1,1,True,False,True,True,True,True,True
52,1,2,2,False,False,True,True,True,True,True
58,1,1,1,True,False,False,False,False,True,True
58,1,2,2,False,False,False,False,False,True,True
59,1,1,1,True,False,False,False,False,False,False
59,1,2,2,False,False,False,False,False,False,False
59,2,1,1,False,False,True,False,True,False,False
59,2,2,2,True,False,True,False,True,False,False
60,1,1,1,False,False,False,False,False,False,True
60,1,2,2,False,False,False,False,False,False,True
62,1,1,1,True,False,False,False,False,True,True
62,1,2,2,False,False,False,False,False,True,True
65,1,1,1,False,False,False,False,False,True,True
65,1,2,2,True,False,False,False,False,True,True
65,2,1,1,True,False,True,True,False,True,True
65,2,2,2,True,False,True,True,False,True,True
66,1,1,1,False,False,False,False,False,True,True
66,1,2,2,False,False,False,False,False,True,True
68,1,1,1,True,False,True,False,False,False,True
68,1,2,2,False,False,True,False,False,False,True
70,1,1,1,True,False,False,False,False,False,True
70,1,2,2,False,False,False,False,False,False,True
70,2,1,1,True,False,True,True,True,False,True
70,2,2,2,True,False,True,True,True,False,True
71,1,1,1,True,False,True,True,True,True,True
71,1,2,2,False,False,True,True,True,True,True
72,1,1,1,False,False,False,False,False,False,True
72,1,2,2,False,False,False,False,False,False,True
72,2,1,1,True,False,False,False,False,False,True
72,2,2,2,False,False,False,False,False,False,True
73,1,1,1,True,False,False,False,False,False,True
73,1,2,2,False,False,False,False,False,False,True
73,2,1,1,False,False,False,False,False,False,True
73,2,2,2,True,False,False,False,False,False,True
74,1,1,1,True,False,False,False,False,True,True
74,1,2,2,False,False,False,False,False,True,True
74,2,1,1,True,False,False,False,False,True,True
74,2,2,2,False,False,False,False,False,True,True
82,1,1,1,True,False,False,False,False,True,True
82,1,2,2,False,False,False,False,False,True,True
83,1,1,1,False,False,True,True,True,False,True
83,1,2,2,True,False,True,True,True,False,True
84,1,1,1,False,False,False,False,False,False,True
84,1,2,2,True,False,False,False,False,False,True
84,2,1,1,True,False,True,True,True,False,True
84,2,2,2,True,False,True,True,True,False,True
85,1,1,1,False,False,False,False,False,True,True
85,1,2,2,True,False,False,False,False,True,True
87,1,1,1,True,False,False,False,False,True,True
87,1,2,2,False,False,False,False,False,True,True
87,2,1,1,False,False,True,True,True,True,True
87,2,2,2,True,False,True,True,True,True,True
88,1,1,1,True,False,True,True,True,True,True
88,1,2,2,True,False,True,True,True,True,True
91,1,1,1,True,False,True,True,True,True,True
91,1,2,2,True,False,True,True,True,True,True
95,1,1,1,True,False,True,True,True,True,True
95,1,2,2,True,False,True,True,True,True,True
97,1,1,1,True,False,True,True,True,True,True
97,1,2,2,True,False,True,True,True,True,True
