game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[1, 1, 1, 1, 1]",1059.0,[5 4 2 5 4],,393.0,False,False,False,False,False
0,1,2,1.0,"[3, 2, 1, 4, 3]",414.90000000000003,[5 4 2 5 4],414.90000000000003,162.9,False,False,False,False,False
0,2,1,0.9,"[3, 2, 1, 4, 3]",822.6,[5 4 2 5 4],,353.7,False,False,False,False,False
1,1,1,1.0,"[1, 2, 1, 1, 0]",959.0,[4 7 3 5 1],,914.0,False,False,False,False,False
1,1,2,1.0,"[0, 1, 0, 0, 0]",908.1,[4 7 3 5 1],908.1,768.6,False,False,False,False,False
1,2,1,0.9,"[0, 1, 0, 0, 0]",49.5,[4 7 3 5 1],,822.6,True,False,False,False,False
2,1,1,1.0,"[1, 0, 5, 3, 2]",746.0,[ 2  1 10  6  4],,2.0,False,False,False,False,False
2,1,2,1.0,"[0, 0, 4, 2, 1]",805.5,[ 2  1 10  6  4],805.5,736.2,False,False,False,False,False
2,2,1,0.9,"[0, 0, 4, 2, 1]",364.5,[ 2  1 10  6  4],,1.8,False,False,False,False,False
3,1,1,1.0,"[2, 2, 2, 1, 2]",620.0,[5 5 4 2 4],,178.0,False,False,False,False,False
3,1,2,1.0,"[1, 1, 1, 1, 2]",637.2,[5 5 4 2 4],637.2,230.4,False,False,False,False,False
3,2,1,0.9,"[1, 1, 1, 1, 2]",297.0,[5 5 4 2 4],,160.20000000000002,False,False,False,False,False
4,1,1,1.0,"[2, 0, 1, 0, 0]",1251.0,[9 2 6 3 2],,429.0,False,False,False,False,False
4,1,2,1.0,"[4, 1, 3, 2, 1]",502.2,[9 2 6 3 2],502.2,389.7,False,False,False,False,False
4,2,1,0.9,"[3, 1, 2, 1, 1]",805.5,[9 2 6 3 2],805.5,386.1,False,False,False,False,False
4,2,2,0.9,"[3, 1, 2, 1, 1]",355.5,[9 2 6 3 2],,389.7,True,False,False,False,False
5,1,1,1.0,"[1, 2, 1, 0, 0]",452.0,[3 5 2 0 1],,133.0,False,False,False,False,False
6,1,1,1.0,"[2, 0, 1, 2, 2]",706.0,[4 0 4 5 4],,168.0,False,False,False,False,False
6,1,2,1.0,"[1, 0, 1, 1, 4]",612.0,[4 0 4 5 4],612.0,365.40000000000003,False,False,False,False,False
6,2,1,0.9,"[2, 0, 0, 2, 2]",725.4,[4 0 4 5 4],725.4,151.20000000000002,False,False,False,False,False
7,1,1,1.0,"[1, 3, 1, 4, 1]",563.0,[2 6 3 8 2],,473.0,False,False,False,False,False
7,1,2,1.0,"[0, 4, 2, 4, 0]",720.9,[2 6 3 8 2],720.9,774.9,False,True,False,False,False
7,2,1,0.9,"[0, 4, 2, 4, 0]",448.2,[2 6 3 8 2],,425.7,False,False,False,False,False
8,1,1,1.0,"[2, 3, 2, 3, 1]",439.0,[4 6 4 5 2],,768.0,False,True,False,False,False
8,1,2,1.0,"[2, 2, 2, 2, 0]",777.6,[4 6 4 5 2],777.6,367.2,False,False,False,False,False
8,2,1,0.9,[],,[4 6 4 5 2],,,,,,,
9,1,1,1.0,[],,[10  5  3  4  4],,,,,,,
10,1,1,1.0,"[1, 1, 3, 2, 3]",841.0,[3 3 6 5 6],,645.0,False,False,False,False,False
