game_num,round_num,step_num,player,is_strict_ef,is_one_item_ef,is_final_allocation,final_strict_ef,final_one_item_ef,outside_consistent,offer_increasing
0,1,1,1,True,False,False,False,False,False,False
0,1,2,2,False,False,False,False,False,False,False
0,2,1,1,False,False,True,False,True,False,False
0,2,2,2,True,False,True,False,True,False,False
1,1,1,1,False,False,False,False,False,False,False
1,1,2,2,True,False,False,False,False,False,False
1,2,1,1,True,False,False,False,False,False,False
1,2,2,2,False,False,False,False,False,False,False
2,1,1,1,True,False,False,False,False,False,False
2,1,2,2,False,False,False,False,False,False,False
2,2,1,1,True,False,True,False,False,False,False
2,2,2,2,False,False,True,False,False,False,False
3,1,1,1,False,False,False,False,False,True,False
3,1,2,2,False,False,False,False,False,True,False
3,2,1,1,False,False,False,False,False,True,False
3,2,2,2,False,False,False,False,False,True,False
4,1,1,1,False,False,False,False,False,False,False
4,1,2,2,False,False,False,False,False,False,False
4,2,1,1,True,False,True,False,False,False,False
4,2,2,2,False,False,True,False,False,False,False
5,1,1,1,True,False,False,False,False,False,True
5,1,2,2,False,False,False,False,False,False,True
5,2,1,1,True,False,True,True,True,False,True
5,2,2,2,False,False,True,True,True,False,True
6,1,1,1,False,False,False,False,False,False,False
6,1,2,2,False,False,False,False,False,False,False
6,2,1,1,True,False,False,False,False,False,False
6,2,2,2,False,False,False,False,False,False,False
7,1,1,1,True,False,False,False,False,False,False
7,1,2,2,True,False,False,False,False,False,False
7,2,1,1,True,False,False,False,False,False,False
7,2,2,2,True,False,False,False,False,False,False
8,1,1,1,False,False,False,False,False,False,False
8,1,2,2,False,False,False,False,False,False,False
8,2,1,1,False,False,True,True,True,False,False
8,2,2,2,False,False,True,True,True,False,False
9,1,1,1,False,False,False,False,False,False,True
9,1,2,2,True,False,False,False,False,False,True
9,2,1,1,True,False,False,False,False,False,True
9,2,2,2,False,False,False,False,False,False,True
9,3,1,1,True,False,True,False,True,False,True
9,3,2,2,True,False,True,False,True,False,True
10,1,1,1,False,False,False,False,False,False,True
10,1,2,2,True,False,False,False,False,False,True
10,2,1,1,False,False,True,True,True,False,True
10,2,2,2,True,False,True,True,True,False,True
11,1,1,1,False,False,False,False,False,False,True
11,1,2,2,True,False,False,False,False,False,True
11,2,1,1,False,False,False,False,False,False,True
11,2,2,2,False,False,False,False,False,False,True
12,1,1,1,True,False,False,False,False,False,True
12,1,2,2,False,False,False,False,False,False,True
12,2,1,1,False,False,True,True,True,False,True
12,2,2,2,True,False,True,True,True,False,True
13,1,1,1,False,False,False,False,False,False,True
13,1,2,2,False,False,False,False,False,False,True
13,2,1,1,False,False,True,True,True,False,True
13,2,2,2,True,False,True,True,True,False,True
14,1,1,1,False,False,False,False,False,True,False
14,1,2,2,True,False,False,False,False,True,False
14,2,1,1,True,False,False,False,False,True,False
14,2,2,2,False,False,False,False,False,True,False
15,1,1,1,True,False,False,False,False,True,True
15,1,2,2,False,False,False,False,False,True,True
15,2,1,1,False,False,True,True,True,True,True
15,2,2,2,False,False,True,True,True,True,True
16,1,1,1,True,False,False,False,False,False,True
16,1,2,2,False,False,False,False,False,False,True
16,2,1,1,True,False,True,True,True,False,True
16,2,2,2,False,False,True,True,True,False,True
17,1,1,1,False,False,False,False,False,True,True
17,1,2,2,False,False,False,False,False,True,True
17,2,1,1,True,False,False,False,False,True,True
17,2,2,2,False,False,False,False,False,True,True
18,1,1,1,True,False,False,False,False,True,True
18,1,2,2,False,False,False,False,False,True,True
18,2,1,1,True,False,False,False,False,True,True
18,2,2,2,False,False,False,False,False,True,True
19,1,1,1,False,False,False,False,False,True,True
19,1,2,2,True,False,False,False,False,True,True
19,2,1,1,False,False,False,False,False,True,True
19,2,2,2,True,False,False,False,False,True,True
21,1,1,1,True,False,True,True,True,False,True
21,1,2,2,True,False,True,True,True,False,True
24,1,1,1,False,False,True,True,True,True,True
24,1,2,2,True,False,True,True,True,True,True
26,1,1,1,False,False,False,False,False,True,False
26,1,2,2,True,False,False,False,False,True,False
26,2,1,1,True,False,True,False,False,True,False
26,2,2,2,True,False,True,False,False,True,False
27,1,1,1,False,False,False,False,False,False,False
27,1,2,2,False,False,False,False,False,False,False
27,2,1,1,False,False,True,False,False,False,False
27,2,2,2,False,False,True,False,False,False,False
29,1,1,1,False,False,False,False,False,True,False
29,1,2,2,True,False,False,False,False,True,False
29,2,1,1,False,False,True,False,False,True,False
29,2,2,2,True,False,True,False,False,True,False
32,1,1,1,False,False,False,False,False,True,True
32,1,2,2,True,False,False,False,False,True,True
33,1,1,1,False,False,False,False,False,True,True
33,1,2,2,False,False,False,False,False,True,True
35,1,1,1,False,False,False,False,False,False,False
35,1,2,2,True,False,False,False,False,False,False
35,2,1,1,False,False,True,False,False,False,False
35,2,2,2,True,False,True,False,False,False,False
36,1,1,1,False,False,False,False,False,False,True
36,1,2,2,True,False,False,False,False,False,True
36,2,1,1,False,False,True,True,True,False,True
36,2,2,2,True,False,True,True,True,False,True
37,1,1,1,True,False,True,False,True,False,True
37,1,2,2,False,False,True,False,True,False,True
38,1,1,1,True,False,False,False,False,True,True
38,1,2,2,False,False,False,False,False,True,True
38,2,1,1,True,False,False,False,False,True,True
38,2,2,2,False,False,False,False,False,True,True
39,1,1,1,True,False,False,False,False,False,True
39,1,2,2,False,False,False,False,False,False,True
41,1,1,1,False,False,False,False,False,False,True
41,1,2,2,False,False,False,False,False,False,True
41,2,1,1,False,False,True,False,False,False,True
41,2,2,2,False,False,True,False,False,False,True
42,1,1,1,False,False,False,False,False,False,False
42,1,2,2,True,False,False,False,False,False,False
42,2,1,1,True,False,False,False,False,False,False
42,2,2,2,False,False,False,False,False,False,False
43,1,1,1,True,False,False,False,False,False,False
43,1,2,2,False,False,False,False,False,False,False
43,2,1,1,False,False,True,False,False,False,False
43,2,2,2,True,False,True,False,False,False,False
45,1,1,1,True,False,True,False,True,False,True
45,1,2,2,True,False,True,False,True,False,True
47,1,1,1,False,False,False,False,False,False,True
47,1,2,2,True,False,False,False,False,False,True
49,1,1,1,True,False,False,False,False,False,True
49,1,2,2,False,False,False,False,False,False,True
49,2,1,1,True,False,True,True,True,False,True
49,2,2,2,False,False,True,True,True,False,True
51,1,1,1,False,False,False,False,False,True,False
51,1,2,2,True,False,False,False,False,True,False
51,2,1,1,False,False,True,False,False,True,False
51,2,2,2,True,False,True,False,False,True,False
52,1,1,1,False,False,False,False,False,False,False
52,1,2,2,True,False,False,False,False,False,False
52,2,1,1,True,False,True,False,False,False,False
52,2,2,2,False,False,True,False,False,False,False
53,1,1,1,False,False,False,False,False,False,False
53,1,2,2,False,False,False,False,False,False,False
53,2,1,1,False,False,True,False,False,False,False
53,2,2,2,True,False,True,False,False,False,False
54,1,1,1,True,False,False,False,False,False,True
54,1,2,2,False,False,False,False,False,False,True
54,2,1,1,False,False,True,True,True,False,True
54,2,2,2,False,False,True,True,True,False,True
56,1,1,1,True,False,False,False,False,False,True
56,1,2,2,False,False,False,False,False,False,True
57,1,1,1,False,False,False,False,False,True,True
57,1,2,2,True,False,False,False,False,True,True
57,2,1,1,False,False,False,False,False,True,True
57,2,2,2,False,False,False,False,False,True,True
58,1,1,1,False,False,False,False,False,True,True
58,1,2,2,True,False,False,False,False,True,True
58,2,1,1,True,False,False,False,False,True,True
58,2,2,2,False,False,False,False,False,True,True
59,1,1,1,True,False,False,False,False,False,True
59,1,2,2,False,False,False,False,False,False,True
59,2,1,1,True,False,False,False,False,False,True
59,2,2,2,True,False,False,False,False,False,True
60,1,1,1,False,False,False,False,False,False,False
60,1,2,2,False,False,False,False,False,False,False
60,2,1,1,False,False,True,False,False,False,False
60,2,2,2,False,False,True,False,False,False,False
61,1,1,1,True,False,False,False,False,False,True
61,1,2,2,False,False,False,False,False,False,True
61,2,1,1,True,False,True,True,True,False,True
61,2,2,2,False,False,True,True,True,False,True
62,1,1,1,False,False,False,False,False,False,False
62,1,2,2,True,False,False,False,False,False,False
62,2,1,1,True,False,True,True,False,False,False
62,2,2,2,False,False,True,True,False,False,False
63,1,1,1,True,False,False,False,False,True,True
63,1,2,2,False,False,False,False,False,True,True
65,1,1,1,True,False,False,False,False,False,False
65,1,2,2,False,False,False,False,False,False,False
65,2,1,1,False,False,True,True,True,False,False
65,2,2,2,False,False,True,True,True,False,False
67,1,1,1,False,False,False,False,False,True,True
67,1,2,2,True,False,False,False,False,True,True
68,1,1,1,True,False,False,False,False,False,True
68,1,2,2,False,False,False,False,False,False,True
68,2,1,1,True,False,True,True,True,False,True
68,2,2,2,False,False,True,True,True,False,True
69,1,1,1,True,False,False,False,False,True,True
69,1,2,2,False,False,False,False,False,True,True
69,2,1,1,False,False,False,False,False,True,True
69,2,2,2,False,False,False,False,False,True,True
70,1,1,1,True,False,False,False,False,False,True
70,1,2,2,False,False,False,False,False,False,True
70,2,1,1,True,False,True,True,True,False,True
70,2,2,2,False,False,True,True,True,False,True
71,1,1,1,True,False,False,False,False,False,True
71,1,2,2,False,False,False,False,False,False,True
71,2,1,1,True,False,True,True,True,False,True
71,2,2,2,False,False,True,True,True,False,True
72,1,1,1,True,False,False,False,False,True,True
72,1,2,2,False,False,False,False,False,True,True
72,2,1,1,True,False,False,False,False,True,True
72,2,2,2,True,False,False,False,False,True,True
73,1,1,1,False,False,False,False,False,False,False
73,1,2,2,False,False,False,False,False,False,False
73,2,1,1,False,False,True,False,True,False,False
73,2,2,2,True,False,True,False,True,False,False
74,1,1,1,True,False,False,False,False,True,True
