game_num,round_num,step_num,player,is_strict_ef,is_one_item_ef,is_final_allocation,final_strict_ef,final_one_item_ef,outside_consistent,offer_increasing
0,1,1,1,True,False,True,True,True,True,True
0,1,2,2,True,False,True,True,True,True,True
1,1,1,1,True,False,False,False,False,False,True
1,1,2,2,False,False,False,False,False,False,True
3,1,1,1,False,False,True,True,True,False,True
3,1,2,2,False,False,True,True,True,False,True
7,1,1,1,True,False,True,True,True,True,True
7,1,2,2,True,False,True,True,True,True,True
12,1,1,1,True,False,True,True,True,False,True
12,1,2,2,True,False,True,True,True,False,True
14,1,1,1,True,False,False,False,False,False,True
14,1,2,2,False,False,False,False,False,False,True
15,1,1,1,True,False,True,True,True,True,True
15,1,2,2,True,False,True,True,True,True,True
23,1,1,1,True,False,True,True,True,True,True
23,1,2,2,True,False,True,True,True,True,True
25,1,1,1,True,False,True,True,True,False,True
25,1,2,2,True,False,True,True,True,False,True
26,1,1,1,False,False,True,True,True,False,True
26,1,2,2,True,False,True,True,True,False,True
27,1,1,1,True,False,True,True,True,True,True
27,1,2,2,True,False,True,True,True,True,True
29,1,1,1,True,False,True,False,True,True,True
29,1,2,2,True,False,True,False,True,True,True
30,1,1,1,True,False,True,False,True,True,True
30,1,2,2,True,False,True,False,True,True,True
32,1,1,1,True,False,True,True,True,True,True
32,1,2,2,True,False,True,True,True,True,True
36,1,1,1,False,False,False,False,False,False,True
36,1,2,2,True,False,False,False,False,False,True
36,2,1,1,True,False,True,True,True,False,True
36,2,2,2,True,False,True,True,True,False,True
37,1,1,1,False,False,False,False,False,True,True
37,1,2,2,True,False,False,False,False,True,True
42,1,1,1,True,False,True,True,True,False,True
42,1,2,2,True,False,True,True,True,False,True
46,1,1,1,True,False,False,False,False,False,True
46,1,2,2,False,False,False,False,False,False,True
47,1,1,1,False,False,False,False,False,False,False
47,1,2,2,True,False,False,False,False,False,False
48,1,1,1,True,False,True,True,True,False,True
48,1,2,2,True,False,True,True,True,False,True
51,1,1,1,True,False,True,True,True,True,True
51,1,2,2,True,False,True,True,True,True,True
52,1,1,1,False,False,True,True,True,False,True
52,1,2,2,True,False,True,True,True,False,True
53,1,1,1,True,False,False,False,False,True,True
53,1,2,2,False,False,False,False,False,True,True
54,1,1,1,True,False,True,True,True,True,True
54,1,2,2,True,False,True,True,True,True,True
55,1,1,1,True,False,False,False,False,False,True
55,1,2,2,False,False,False,False,False,False,True
66,1,1,1,True,False,True,True,True,True,True
66,1,2,2,True,False,True,True,True,True,True
68,1,1,1,True,False,True,True,True,True,True
68,1,2,2,True,False,True,True,True,True,True
70,1,1,1,True,False,True,True,True,True,True
70,1,2,2,True,False,True,True,True,True,True
71,1,1,1,False,False,True,True,True,False,True
71,1,2,2,False,False,True,True,True,False,True
72,1,1,1,True,False,False,False,False,False,True
72,1,2,2,True,False,False,False,False,False,True
73,1,1,1,True,False,True,False,True,True,True
73,1,2,2,True,False,True,False,True,True,True
76,1,1,1,True,False,True,True,True,True,True
76,1,2,2,True,False,True,True,True,True,True
77,1,1,1,False,False,True,True,True,True,True
77,1,2,2,True,False,True,True,True,True,True
78,1,1,1,True,False,True,True,True,True,True
78,1,2,2,True,False,True,True,True,True,True
82,1,1,1,False,False,False,False,False,False,False
82,1,2,2,True,False,False,False,False,False,False
88,1,1,1,True,False,True,True,True,True,True
88,1,2,2,True,False,True,True,True,True,True
89,1,1,1,True,False,True,True,True,False,True
89,1,2,2,True,False,True,True,True,False,True
90,1,1,1,False,False,False,False,False,False,True
90,1,2,2,False,False,False,False,False,False,True
91,1,1,1,False,False,False,False,False,True,True
91,1,2,2,False,False,False,False,False,True,True
93,1,1,1,True,False,True,True,True,False,True
93,1,2,2,True,False,True,True,True,False,True
94,1,1,1,True,False,True,False,False,True,True
94,1,2,2,True,False,True,False,False,True,True
99,1,1,1,False,False,True,False,False,False,True
99,1,2,2,True,False,True,False,False,False,True
