game_num,round_num,player,discount_rate,offer,value,items,your_side_of_current_offer,outside_offer,accepting_an_offer_worse_than_outside_offer,making_an_offer_worse_for_you_than_your_outside_offer,walking_away_from_an_offer_better_than_your_outside_offer,offer_no_items_or_all_items,making_offer_worse_than_previous
0,1,1,1.0,"[2, 1, 4, 1, 2]",725.0,[4 3 8 2 4],,935.0,False,True,False,False,False
0,1,2,1.0,"[1, 1, 3, 0, 1]",161.0,[4 3 8 2 4],161.0,886.0,False,True,True,False,True
0,2,1,0.9,"[1, 1, 4, 1, 2]",709.2,[4 3 8 2 4],709.2,841.5,False,True,False,False,True
0,2,2,0.9,"[2, 1, 5, 1, 3]",287.1,[4 3 8 2 4],287.1,797.4,False,True,False,False,False
0,3,1,0.81,[],,[4 3 8 2 4],,,,,,,
1,1,1,1.0,"[1, 2, 4, 1, 1]",362.0,[2 3 7 2 3],,462.0,False,True,False,False,False
1,1,2,1.0,"[1, 3, 6, 2, 2]",274.0,[2 3 7 2 3],274.0,817.0,False,True,False,False,False
1,2,1,0.9,"[1, 1, 3, 1, 2]",292.5,[2 3 7 2 3],292.5,415.8,False,True,False,False,False
1,2,2,0.9,"[1, 2, 5, 1, 1]",174.6,[2 3 7 2 3],174.6,735.3000000000001,False,True,False,False,True
1,3,1,0.81,"[1, 1, 4, 1, 2]",245.43,[2 3 7 2 3],245.43,374.22,False,True,False,False,True
2,1,1,1.0,"[1, 2, 2, 3, 3]",372.0,[2 3 4 5 5],,929.0,False,True,False,False,False
2,1,2,1.0,"[1, 1, 3, 2, 2]",258.0,[2 3 4 5 5],258.0,820.0,False,True,False,False,True
2,2,1,0.9,"[1, 2, 2, 3, 4]",298.8,[2 3 4 5 5],298.8,836.1,False,True,False,False,True
2,2,2,0.9,"[1, 1, 3, 2, 3]",243.9,[2 3 4 5 5],243.9,738.0,False,True,False,False,True
2,3,1,0.81,[],,[2 3 4 5 5],,,,,,,
3,1,1,1.0,"[2, 2, 3, 4, 5]",1107.0,[5 5 6 7 9],,342.0,False,False,False,False,False
3,1,2,1.0,"[3, 1, 4, 3, 6]",632.0,[5 5 6 7 9],632.0,238.0,False,False,True,False,True
3,2,1,0.9,"[2, 3, 3, 4, 5]",910.8000000000001,[5 5 6 7 9],910.8000000000001,307.8,False,False,True,False,True
3,2,2,0.9,"[3, 2, 4, 3, 6]",658.8000000000001,[5 5 6 7 9],658.8000000000001,214.20000000000002,False,False,True,False,True
3,3,1,0.81,"[2, 3, 3, 4, 5]",819.72,[5 5 6 7 9],819.72,277.02000000000004,False,False,True,False,True
4,1,1,1.0,"[1, 3, 3, 3, 4]",579.0,[2 6 6 6 7],,960.0,False,True,False,False,False
4,1,2,1.0,"[1, 4, 4, 4, 3]",634.0,[2 6 6 6 7],634.0,737.0,False,True,False,False,True
4,2,1,0.9,"[1, 3, 3, 3, 4]",521.1,[2 6 6 6 7],521.1,864.0,False,True,False,False,False
4,2,2,0.9,"[1, 2, 2, 2, 3]",437.40000000000003,[2 6 6 6 7],437.40000000000003,663.3000000000001,False,True,False,False,True
4,3,1,0.81,[],,[2 6 6 6 7],,,,,,,
5,1,1,1.0,"[1, 2, 2, 1, 4]",549.0,[2 5 5 3 5],,749.0,False,True,False,False,False
5,1,2,1.0,"[1, 3, 1, 2, 1]",238.0,[2 5 5 3 5],238.0,796.0,False,True,False,False,True
5,2,1,0.9,"[1, 2, 3, 1, 2]",432.0,[2 5 5 3 5],432.0,674.1,False,True,False,False,True
5,2,2,0.9,"[1, 1, 2, 2, 1]",215.1,[2 5 5 3 5],215.1,716.4,False,True,False,False,True
5,3,1,0.81,[],,[2 5 5 3 5],,,,,,,
6,1,1,1.0,"[1, 2, 4, 1, 1]",260.0,[2 4 7 2 2],,516.0,False,True,False,False,False
6,1,2,1.0,"[1, 3, 3, 1, 1]",250.0,[2 4 7 2 2],250.0,406.0,False,True,False,False,True
6,2,1,0.9,"[1, 2, 5, 1, 1]",207.9,[2 4 7 2 2],207.9,464.40000000000003,False,True,False,False,True
6,2,2,0.9,"[1, 2, 4, 1, 1]",262.8,[2 4 7 2 2],262.8,365.40000000000003,False,True,False,False,True
6,3,1,0.81,"[1, 2, 4, 1, 1]",210.60000000000002,[2 4 7 2 2],210.60000000000002,417.96000000000004,True,True,False,False,True
7,1,1,1.0,"[0, 1, 2, 2, 4]",520.0,[1 2 4 4 8],,12.0,False,False,False,False,False
7,1,2,1.0,"[1, 0, 2, 2, 4]",203.0,[1 2 4 4 8],203.0,821.0,False,True,True,False,False
7,2,1,0.9,"[0, 1, 3, 2, 5]",387.90000000000003,[1 2 4 4 8],387.90000000000003,10.8,False,False,True,False,True
7,2,2,0.9,"[1, 0, 2, 3, 4]",227.70000000000002,[1 2 4 4 8],227.70000000000002,738.9,False,True,True,False,False
7,3,1,0.81,"[0, 1, 3, 2, 5]",349.11,[1 2 4 4 8],349.11,9.72,False,False,True,False,True
8,1,1,1.0,"[1, 4, 2, 1, 4]",430.0,[3 5 4 2 5],,662.0,False,True,False,False,False
8,1,2,1.0,"[2, 1, 2, 1, 1]",432.0,[3 5 4 2 5],432.0,6.0,False,False,False,False,True
8,2,1,0.9,"[1, 3, 2, 1, 3]",407.7,[3 5 4 2 5],407.7,595.8000000000001,False,True,False,False,True
8,2,2,0.9,"[2, 1, 2, 1, 2]",476.1,[3 5 4 2 5],476.1,5.4,False,False,False,False,True
8,3,1,0.81,[],,[3 5 4 2 5],,,,,,,
9,1,1,1.0,"[2, 1, 1, 1, 1]",461.0,[5 2 3 2 3],,196.0,False,False,False,False,False
9,1,2,1.0,"[3, 1, 2, 0, 0]",508.0,[5 2 3 2 3],508.0,855.0,False,True,True,False,False
9,2,1,0.9,"[2, 1, 1, 1, 2]",379.8,[5 2 3 2 3],379.8,176.4,False,False,True,False,True
9,2,2,0.9,"[2, 0, 1, 0, 1]",267.3,[5 2 3 2 3],267.3,769.5,False,True,True,False,True
9,3,1,0.81,"[3, 1, 2, 0, 0]",370.98,[5 2 3 2 3],370.98,158.76000000000002,False,False,True,False,True
9,3,2,0.81,"[3, 1, 2, 0, 0]",411.48,[5 2 3 2 3],411.48,692.5500000000001,True,True,False,False,False
10,1,1,1.0,"[0, 3, 1, 2, 1]",363.0,[1 7 3 6 3],,677.0,False,True,False,False,False
10,1,2,1.0,"[1, 2, 0, 3, 2]",540.0,[1 7 3 6 3],540.0,683.0,False,True,False,False,False
10,2,1,0.9,"[0, 4, 1, 2, 1]",321.3,[1 7 3 6 3],321.3,609.3000000000001,False,True,False,False,False
10,2,2,0.9,"[1, 3, 0, 3, 2]",567.9,[1 7 3 6 3],567.9,614.7,False,True,False,False,False
10,3,1,0.81,[],,[1 7 3 6 3],,,,,,,
11,1,1,1.0,"[2, 1, 2, 0, 2]",645.0,[5 3 5 1 5],,261.0,False,False,False,False,False
11,1,2,1.0,"[3, 0, 3, 1, 3]",242.0,[5 3 5 1 5],242.0,916.0,False,True,True,False,False
11,2,1,0.9,"[2, 1, 2, 0, 3]",494.1,[5 3 5 1 5],494.1,234.9,False,False,True,False,False
11,2,2,0.9,"[2, 0, 3, 1, 2]",160.20000000000002,[5 3 5 1 5],160.20000000000002,824.4,False,True,True,False,True
11,3,1,0.81,"[2, 0, 3, 1, 2]",426.06,[5 3 5 1 5],426.06,211.41000000000003,False,False,False,False,True
12,1,1,1.0,"[2, 1, 1, 3, 0]",427.0,[4 3 3 7 1],,705.0,False,True,False,False,False
12,1,2,1.0,"[1, 1, 1, 2, 0]",323.0,[4 3 3 7 1],323.0,946.0,False,True,False,False,True
12,2,1,0.9,"[1, 1, 2, 3, 0]",381.6,[4 3 3 7 1],381.6,634.5,False,True,False,False,True
12,2,2,0.9,"[2, 1, 1, 4, 0]",477.0,[4 3 3 7 1],477.0,851.4,False,True,False,False,False
12,3,1,0.81,[],,[4 3 3 7 1],,,,,,,
13,1,1,1.0,"[2, 4, 2, 0, 3]",702.0,[5 5 4 2 5],,353.0,False,False,False,False,False
13,1,2,1.0,"[3, 1, 2, 2, 0]",357.0,[5 5 4 2 5],357.0,789.0,False,True,True,False,True
13,2,1,0.9,"[2, 3, 1, 0, 4]",662.4,[5 5 4 2 5],662.4,317.7,False,False,True,False,False
13,2,2,0.9,"[3, 2, 2, 1, 0]",360.0,[5 5 4 2 5],360.0,710.1,False,True,True,False,False
13,3,1,0.81,[],,[5 5 4 2 5],,,,,,,
14,1,1,1.0,"[1, 1, 3, 3, 4]",545.0,[2 3 6 6 9],,59.0,False,False,False,False,False
14,1,2,1.0,"[1, 2, 4, 2, 5]",838.0,[2 3 6 6 9],838.0,113.0,False,False,True,False,False
14,2,1,0.9,"[1, 1, 3, 4, 5]",435.6,[2 3 6 6 9],435.6,53.1,False,False,True,False,False
14,2,2,0.9,"[1, 2, 3, 3, 4]",718.2,[2 3 6 6 9],718.2,101.7,False,False,True,False,True
14,3,1,0.81,"[1, 2, 3, 3, 4]",415.53000000000003,[2 3 6 6 9],415.53000000000003,47.790000000000006,False,False,False,False,True
15,1,1,1.0,"[4, 1, 0, 3, 2]",816.0,[9 3 1 7 5],,692.0,False,False,False,False,False
15,1,2,1.0,"[3, 0, 1, 4, 1]",461.0,[9 3 1 7 5],461.0,293.0,False,False,True,False,True
15,2,1,0.9,"[4, 1, 0, 3, 2]",734.4,[9 3 1 7 5],734.4,622.8000000000001,False,False,True,False,True
15,2,2,0.9,"[5, 0, 1, 2, 1]",422.1,[9 3 1 7 5],422.1,263.7,False,False,True,False,True
15,3,1,0.81,[],,[9 3 1 7 5],,,,,,,
16,1,1,1.0,"[1, 3, 2, 1, 1]",646.0,[3 7 4 2 2],,584.0,False,False,False,False,False
16,1,2,1.0,"[2, 4, 1, 1, 0]",256.0,[3 7 4 2 2],256.0,483.0,False,True,True,False,True
16,2,1,0.9,"[1, 2, 2, 1, 1]",665.1,[3 7 4 2 2],665.1,525.6,False,False,True,False,True
16,2,2,0.9,"[2, 3, 1, 1, 0]",207.0,[3 7 4 2 2],207.0,434.7,False,True,True,False,True
16,3,1,0.81,[],,[3 7 4 2 2],,,,,,,
17,1,1,1.0,"[1, 0, 1, 2, 0]",336.0,[3 1 2 3 1],,200.0,False,False,False,False,False
17,1,2,1.0,"[2, 0, 1, 1, 0]",204.0,[3 1 2 3 1],204.0,82.0,False,False,True,False,True
17,2,1,0.9,"[1, 0, 1, 2, 0]",302.40000000000003,[3 1 2 3 1],302.40000000000003,180.0,False,False,True,False,False
17,2,2,0.9,"[1, 0, 0, 1, 0]",101.7,[3 1 2 3 1],101.7,73.8,False,False,True,False,True
17,3,1,0.81,"[1, 0, 1, 2, 0]",272.16,[3 1 2 3 1],272.16,162.0,False,False,True,False,True
18,1,1,1.0,"[0, 3, 2, 2, 0]",626.0,[1 7 5 3 1],,243.0,False,False,False,False,False
18,1,2,1.0,"[1, 2, 1, 1, 0]",147.0,[1 7 5 3 1],147.0,273.0,False,True,True,False,True
18,2,1,0.9,"[0, 4, 3, 2, 0]",422.1,[1 7 5 3 1],422.1,218.70000000000002,False,False,True,False,True
18,2,2,0.9,"[1, 3, 2, 1, 0]",221.4,[1 7 5 3 1],221.4,245.70000000000002,False,True,True,False,True
18,3,1,0.81,"[0, 4, 3, 2, 0]",379.89000000000004,[1 7 5 3 1],379.89000000000004,196.83,False,False,True,False,True
19,1,1,1.0,"[1, 3, 1, 2, 4]",792.0,[2 6 2 5 9],,160.0,False,False,False,False,False
19,1,2,1.0,"[1, 2, 1, 3, 5]",557.0,[2 6 2 5 9],557.0,95.0,False,False,True,False,False
19,2,1,0.9,"[1, 3, 1, 2, 4]",712.8000000000001,[2 6 2 5 9],712.8000000000001,144.0,False,False,True,False,False
19,2,2,0.9,"[1, 2, 1, 3, 5]",501.3,[2 6 2 5 9],501.3,85.5,False,False,True,False,False
19,3,1,0.81,"[1, 2, 1, 3, 5]",575.9100000000001,[2 6 2 5 9],575.9100000000001,129.60000000000002,False,False,False,False,True
20,1,1,1.0,"[0, 3, 0, 0, 0]",1654.0,[1 7 5 7 3],,133.0,False,False,False,False,False
21,1,1,1.0,"[4, 2, 1, 1, 3]",618.0,[9 4 3 2 6],,300.0,False,False,False,False,False
21,1,2,1.0,"[5, 0, 0, 0, 6]",345.0,[9 4 3 2 6],345.0,986.0,False,True,True,False,False
21,2,1,0.9,[],,[9 4 3 2 6],,,,,,,
22,1,1,1.0,"[3, 0, 0, 0, 0]",1193.0,[6 4 5 1 3],,377.0,False,False,False,False,False
23,1,1,1.0,[],,[5 7 3 1 5],,,,,,,
24,1,1,1.0,"[0, 0, 0, 6, 0]",1038.0,[7 3 3 8 2],,471.0,False,False,False,False,False
24,1,2,1.0,"[3, 1, 1, 2, 0]",437.0,[7 3 3 8 2],437.0,827.0,False,True,True,False,False
24,2,1,0.9,[],,[7 3 3 8 2],,,,,,,
25,1,1,1.0,"[0, 0, 3, 4, 5]",198.0,[1 2 4 4 5],,624.0,False,True,False,False,False
26,1,1,1.0,"[2, 0, 4, 0, 7]",844.0,[4 5 4 3 7],,487.0,False,False,False,False,False
26,1,2,1.0,"[0, 5, 0, 3, 6]",366.0,[4 5 4 3 7],366.0,241.0,False,False,True,False,False
26,2,1,0.9,"[0, 5, 4, 0, 6]",535.5,[4 5 4 3 7],535.5,438.3,False,False,True,False,True
26,2,2,0.9,"[4, 0, 0, 3, 7]",553.5,[4 5 4 3 7],553.5,216.9,False,False,True,False,False
26,3,1,0.81,[],,[4 5 4 3 7],,,,,,,
27,1,1,1.0,"[0, 3, 0, 7, 4]",630.0,[5 3 5 7 4],,300.0,False,False,False,False,False
27,1,2,1.0,"[5, 0, 5, 0, 0]",355.0,[5 3 5 7 4],355.0,418.0,False,True,True,False,True
27,2,1,0.9,"[2, 3, 1, 4, 2]",558.0,[5 3 5 7 4],558.0,270.0,False,False,True,False,False
27,2,2,0.9,"[0, 0, 5, 7, 0]",648.0,[5 3 5 7 4],648.0,376.2,False,False,True,False,True
27,3,1,0.81,[],,[5 3 5 7 4],,,,,,,
28,1,1,1.0,"[3, 0, 0, 3, 1]",373.0,[6 1 0 6 3],,215.0,False,False,False,False,False
29,1,1,1.0,"[3, 4, 3, 2, 0]",821.0,[6 7 6 4 1],,286.0,False,False,False,False,False
29,1,2,1.0,"[5, 6, 5, 0, 0]",555.0,[6 7 6 4 1],555.0,111.0,False,False,True,False,False
29,2,1,0.9,"[4, 3, 4, 0, 0]",764.1,[6 7 6 4 1],764.1,257.40000000000003,False,False,True,False,False
29,2,2,0.9,"[5, 6, 5, 0, 0]",499.5,[6 7 6 4 1],499.5,99.9,False,False,True,False,False
29,3,1,0.81,[],,[6 7 6 4 1],,,,,,,
30,1,1,1.0,"[0, 0, 0, 7, 0]",974.0,[4 5 4 7 2],,202.0,False,False,False,False,False
31,1,1,1.0,"[2, 1, 4, 2, 2]",871.0,[5 5 7 5 4],,436.0,False,False,False,False,False
32,1,1,1.0,"[0, 0, 0, 4, 5]",374.0,[3 2 2 5 5],,110.0,False,False,False,False,False
32,1,2,1.0,"[3, 2, 2, 1, 0]",266.0,[3 2 2 5 5],266.0,150.0,False,False,True,False,False
32,2,1,0.9,"[0, 0, 0, 4, 4]",358.2,[3 2 2 5 5],358.2,99.0,False,False,True,False,False
33,1,1,1.0,"[3, 4, 0, 0, 0]",687.0,[6 5 2 2 5],,337.0,False,False,False,False,False
33,1,2,1.0,"[3, 0, 0, 0, 4]",304.0,[6 5 2 2 5],304.0,372.0,False,True,True,False,True
33,2,1,0.9,"[4, 3, 0, 0, 5]",223.20000000000002,[6 5 2 2 5],223.20000000000002,303.3,False,True,False,False,True
34,1,1,1.0,[],,[5 3 4 2 3],,,,,,,
35,1,1,1.0,"[0, 0, 0, 7, 0]",797.0,[3 4 3 7 3],,910.0,False,True,False,False,False
35,1,2,1.0,"[3, 4, 3, 6, 3]",1446.0,[3 4 3 7 3],1446.0,285.0,False,False,False,False,False
35,2,1,0.9,"[0, 4, 0, 7, 0]",526.5,[3 4 3 7 3],526.5,819.0,False,True,False,False,False
35,2,2,0.9,"[3, 0, 3, 6, 3]",1085.4,[3 4 3 7 3],1085.4,256.5,False,False,False,False,False
35,3,1,0.81,[],,[3 4 3 7 3],,,,,,,
36,1,1,1.0,"[0, 3, 0, 0, 0]",1078.0,[3 6 4 1 2],,955.0,False,False,False,False,False
36,1,2,1.0,"[1, 2, 2, 0, 1]",399.0,[3 6 4 1 2],399.0,24.0,False,False,False,False,False
36,2,1,0.9,"[0, 4, 0, 0, 0]",893.7,[3 6 4 1 2],893.7,859.5,False,False,True,False,False
36,2,2,0.9,"[1, 3, 2, 0, 1]",432.90000000000003,[3 6 4 1 2],432.90000000000003,21.6,False,False,False,False,False
36,3,1,0.81,[],,[3 6 4 1 2],,,,,,,
37,1,1,1.0,"[0, 7, 3, 0, 0]",428.0,[4 7 3 0 2],,999.0,False,True,False,False,False
37,1,2,1.0,"[2, 3, 1, 0, 0]",387.0,[4 7 3 0 2],387.0,278.0,False,False,False,False,True
37,2,1,0.9,[],,[4 7 3 0 2],,,,,,,
38,1,1,1.0,"[2, 1, 4, 1, 3]",1019.0,[4 3 9 3 6],,311.0,False,False,False,False,False
38,1,2,1.0,"[1, 2, 5, 0, 2]",435.0,[4 3 9 3 6],435.0,294.0,False,False,True,False,True
38,2,1,0.9,"[2, 1, 4, 1, 3]",917.1,[4 3 9 3 6],917.1,279.90000000000003,False,False,True,False,True
38,2,2,0.9,"[2, 2, 3, 0, 3]",411.3,[4 3 9 3 6],411.3,264.6,False,False,True,False,True
38,3,1,0.81,"[2, 2, 3, 0, 3]",885.33,[4 3 9 3 6],885.33,251.91000000000003,False,False,False,False,True
39,1,1,1.0,"[3, 2, 5, 2, 3]",453.0,[7 4 6 4 5],,253.0,False,False,False,False,False
39,1,2,1.0,"[4, 2, 4, 2, 1]",381.0,[7 4 6 4 5],381.0,540.0,False,True,True,False,True
39,2,1,0.9,"[3, 1, 5, 2, 2]",522.9,[7 4 6 4 5],522.9,227.70000000000002,False,False,True,False,True
40,1,1,1.0,"[0, 6, 0, 0, 4]",448.0,[3 8 1 2 4],,318.0,False,False,False,False,False
41,1,1,1.0,"[2, 2, 2, 1, 3]",820.0,[4 4 5 2 6],,681.0,False,False,False,False,False
41,1,2,1.0,"[0, 0, 5, 0, 6]",193.0,[4 4 5 2 6],193.0,283.0,False,True,False,False,True
41,2,1,0.9,"[3, 3, 0, 0, 3]",883.8000000000001,[4 4 5 2 6],883.8000000000001,612.9,False,False,True,False,False
41,2,2,0.9,"[1, 1, 3, 0, 4]",174.6,[4 4 5 2 6],174.6,254.70000000000002,False,True,True,False,True
41,3,1,0.81,[],,[4 4 5 2 6],,,,,,,
42,1,1,1.0,"[0, 0, 0, 3, 6]",1463.0,[5 7 5 3 6],,657.0,False,False,False,False,False
42,1,2,1.0,"[5, 7, 5, 0, 0]",973.0,[5 7 5 3 6],973.0,269.0,False,False,False,False,False
42,2,1,0.9,"[4, 6, 4, 0, 6]",314.1,[5 7 5 3 6],314.1,591.3000000000001,False,True,False,False,False
42,2,2,0.9,"[1, 3, 2, 0, 0]",284.40000000000003,[5 7 5 3 6],284.40000000000003,242.1,False,False,True,False,True
42,3,1,0.81,"[2, 4, 3, 0, 6]",613.98,[5 7 5 3 6],613.98,532.1700000000001,False,False,True,False,True
43,1,1,1.0,"[2, 3, 2, 4, 3]",468.0,[4 6 3 6 5],,600.0,False,True,False,False,False
43,1,2,1.0,"[0, 0, 0, 0, 0]",0.0,[4 6 3 6 5],0.0,992.0,False,True,True,True,True
43,2,1,0.9,"[2, 3, 1, 3, 2]",465.3,[4 6 3 6 5],465.3,540.0,False,True,False,False,True
43,2,2,0.9,"[4, 6, 3, 6, 5]",750.6,[4 6 3 6 5],750.6,892.8000000000001,False,True,False,True,False
43,3,1,0.81,[],,[4 6 3 6 5],,,,,,,
44,1,1,1.0,[],,[6 7 4 1 5],,,,,,,
45,1,1,1.0,"[1, 0, 2, 1, 2]",325.0,[2 1 4 2 4],,542.0,False,True,False,False,False
45,1,2,1.0,"[0, 0, 3, 0, 3]",459.0,[2 1 4 2 4],459.0,232.0,False,False,False,False,False
45,2,1,0.9,[],,[2 1 4 2 4],,,,,,,
46,1,1,1.0,"[2, 0, 0, 3, 1]",298.0,[4 0 0 7 3],,966.0,False,True,False,False,False
47,1,1,1.0,"[2, 0, 1, 1, 2]",443.0,[5 0 1 3 5],,230.0,False,False,False,False,False
47,1,2,1.0,"[3, 0, 0, 2, 3]",381.0,[5 0 1 3 5],381.0,861.0,False,True,True,False,False
47,2,1,0.9,"[2, 0, 1, 1, 2]",398.7,[5 0 1 3 5],398.7,207.0,False,False,True,False,False
48,1,1,1.0,[],,[4 3 5 4 0],,,,,,,
49,1,1,1.0,"[0, 3, 4, 3, 4]",486.0,[1 5 8 6 6],,378.0,False,False,False,False,False
49,1,2,1.0,"[1, 2, 3, 2, 1]",264.0,[1 5 8 6 6],264.0,668.0,False,True,True,False,True
49,2,1,0.9,"[0, 2, 4, 3, 3]",500.40000000000003,[1 5 8 6 6],500.40000000000003,340.2,False,False,True,False,True
